TIME,REL HUMIDITY AMB AIR,TURBINE SPEED,CALC TURB OT,POSN PILOT GAS CTRL-V,FPG ,PILOT GAS FLOW,NG ESV - OPEN
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.92,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,-0.01,0.00,0.00
44034.31,92.65,1.84,21.07,0.13,0.02,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.84,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.77,21.07,4.37,0.09,0.00,0.00
44034.31,92.65,1.77,20.54,4.37,0.09,0.00,0.00
44034.31,92.65,1.77,20.54,4.37,0.09,0.00,0.00
44034.31,92.65,1.77,20.54,4.37,0.09,0.00,0.00
44034.31,92.65,1.77,20.54,4.37,0.09,0.00,0.00
44034.31,92.65,1.77,20.54,4.37,0.09,0.00,0.00
44034.31,92.65,1.83,20.54,4.37,0.09,0.00,0.00
44034.31,92.65,2.00,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,2.15,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,2.42,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,2.65,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,2.94,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,3.28,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,3.28,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,3.52,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,3.70,20.54,4.32,0.09,0.00,0.00
44034.31,92.65,3.92,20.54,5.81,0.13,0.03,1.00
44034.31,92.65,3.92,20.54,5.81,0.21,0.08,1.00
44034.31,92.65,4.05,20.54,11.11,0.29,0.08,1.00
44034.31,92.65,4.20,22.12,15.21,0.38,0.15,1.00
44034.31,92.65,4.34,29.98,19.52,0.42,0.26,1.00
44034.31,92.65,4.53,52.77,19.52,0.42,0.33,1.00
44034.31,92.65,4.68,74.07,19.52,0.42,0.33,1.00
44034.31,92.65,4.93,110.23,19.52,0.42,0.43,1.00
44034.31,92.65,5.08,135.82,19.52,0.42,0.49,1.00
44034.31,92.65,5.30,172.29,19.52,0.42,0.49,1.00
44034.31,92.65,5.47,195.58,19.52,0.42,0.51,1.00
44034.31,92.65,5.67,226.76,19.52,0.42,0.51,1.00
44034.31,92.65,5.80,245.47,19.52,0.42,0.51,1.00
44034.31,92.65,6.00,272.24,19.52,0.42,0.53,1.00
44034.31,92.65,6.12,288.07,19.52,0.42,0.53,1.00
44034.31,92.65,6.28,315.07,19.52,0.42,0.53,1.00
44034.31,92.65,6.40,333.86,19.52,0.42,0.53,1.00
44034.31,92.65,6.60,351.77,19.52,0.42,0.53,1.00
44034.31,92.65,6.72,363.54,19.52,0.42,0.53,1.00
44034.31,92.65,6.92,378.16,19.52,0.42,0.53,1.00
44034.31,92.65,7.07,386.97,19.52,0.42,0.53,1.00
44034.31,92.65,7.27,398.03,19.52,0.42,0.53,1.00
44034.31,92.65,7.40,404.74,19.86,0.42,0.53,1.00
44034.31,92.65,7.62,413.39,19.86,0.42,0.53,1.00
44034.31,92.65,7.75,418.16,19.86,0.42,0.53,1.00
44034.31,92.65,7.94,424.56,19.86,0.42,0.53,1.00
44034.31,92.65,8.21,428.01,19.86,0.42,0.53,1.00
44034.31,92.65,8.21,428.01,19.86,0.42,0.53,1.00
44034.32,92.65,8.40,428.01,19.86,0.43,0.53,1.00
34:01.0,0/NR,0/NR,0/NR,0/NR,0/NR,0/NR,0/NR
